login,password,email,display_name,groups,subadmin_groups,quota,manager
admin,Leti2026!!,admin@etu.ru,Local Admin,"admin,staff",staff,unlimited,
sup1,Leti2026!!,sup1@etu.ru,Tech Support 1,support,,50 GB,admin
sup2,Leti2026!!,sup2@etu.ru,Tech Support 2,support,,50 GB,admin
guest,Leti2026!!,guest@etu.ru,VIP Guest,guests,,5 GB,admin
th1,Leti2026!!,th1@etu.ru,Head Teacher 1,"teachers,staff",teachers,unlimited,admin
th2,Leti2026!!,th2@etu.ru,Head Teacher 2,"teachers,staff",teachers,unlimited,admin
th3,Leti2026!!,th3@etu.ru,Head Teacher 3,"teachers,staff",teachers,unlimited,admin
th4,Leti2026!!,th4@etu.ru,Head Teacher 4,"teachers,staff",teachers,unlimited,admin
t01,Leti2026!!,t01@etu.ru,Teacher 01,teachers,,10 GB,th1
t02,Leti2026!!,t02@etu.ru,Teacher 02,teachers,,10 GB,th1
t03,Leti2026!!,t03@etu.ru,Teacher 03,teachers,,10 GB,th1
t04,Leti2026!!,t04@etu.ru,Teacher 04,teachers,,10 GB,th1
t05,Leti2026!!,t05@etu.ru,Teacher 05,teachers,,10 GB,th1
t06,Leti2026!!,t06@etu.ru,Teacher 06,teachers,,10 GB,th1
t07,Leti2026!!,t07@etu.ru,Teacher 07,teachers,,10 GB,th1
t08,Leti2026!!,t08@etu.ru,Teacher 08,teachers,,10 GB,th1
t09,Leti2026!!,t09@etu.ru,Teacher 09,teachers,,10 GB,th1
t10,Leti2026!!,t10@etu.ru,Teacher 10,teachers,,10 GB,th1
t11,Leti2026!!,t11@etu.ru,Teacher 11,teachers,,10 GB,th2
t12,Leti2026!!,t12@etu.ru,Teacher 12,teachers,,10 GB,th2
t13,Leti2026!!,t13@etu.ru,Teacher 13,teachers,,10 GB,th2
t14,Leti2026!!,t14@etu.ru,Teacher 14,teachers,,10 GB,th2
t15,Leti2026!!,t15@etu.ru,Teacher 15,teachers,,10 GB,th2
t16,Leti2026!!,t16@etu.ru,Teacher 16,teachers,,10 GB,th2
t17,Leti2026!!,t17@etu.ru,Teacher 17,teachers,,10 GB,th2
t18,Leti2026!!,t18@etu.ru,Teacher 18,teachers,,10 GB,th2
t19,Leti2026!!,t19@etu.ru,Teacher 19,teachers,,10 GB,th2
t20,Leti2026!!,t20@etu.ru,Teacher 20,teachers,,10 GB,th2
t21,Leti2026!!,t21@etu.ru,Teacher 21,teachers,,10 GB,th3
t22,Leti2026!!,t22@etu.ru,Teacher 22,teachers,,10 GB,th3
